2018-02-26 17:56:04.012654 UTC | [experiment_2018_02_26_17_56_01_0001] Populating workers...
2018-02-26 17:56:06.095852 UTC | [experiment_2018_02_26_17_56_01_0001] Populated
2018-02-26 17:56:08.041697 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #0 | Training started
2018-02-26 17:56:08.664284 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #0 | Training finished
2018-02-26 17:56:08.664487 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #1 | Training started
2018-02-26 17:56:09.152764 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #1 | Training finished
2018-02-26 17:56:09.153019 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #2 | Training started
2018-02-26 17:56:09.667142 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #2 | Training finished
2018-02-26 17:56:09.667330 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #3 | Training started
2018-02-26 17:56:10.148413 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #3 | Training finished
2018-02-26 17:56:10.148602 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #4 | Training started
2018-02-26 17:56:10.730652 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #4 | Training finished
2018-02-26 17:56:10.730868 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #5 | Training started
2018-02-26 17:56:11.226000 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #5 | Training finished
2018-02-26 17:56:11.226202 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #6 | Training started
2018-02-26 17:56:11.756099 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #6 | Training finished
2018-02-26 17:56:11.756287 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #7 | Training started
2018-02-26 17:56:12.244616 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #7 | Training finished
2018-02-26 17:56:12.244799 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #8 | Training started
2018-02-26 17:56:12.738145 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #8 | Training finished
2018-02-26 17:56:12.738336 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #9 | Training started
2018-02-26 17:56:13.278160 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #9 | Training finished
2018-02-26 17:56:13.278377 UTC | [experiment_2018_02_26_17_56_01_0001] epoch #9 | Collecting samples for evaluation
