2018-03-01 13:19:47.004915 UTC | [experiment_2018_03_01_13_19_44_0001] Populating workers...
2018-03-01 13:19:49.091224 UTC | [experiment_2018_03_01_13_19_44_0001] Populated
2018-03-01 13:19:51.034185 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #0 | Training started
2018-03-01 13:19:51.247636 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #0 | Training finished
2018-03-01 13:19:51.247869 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #1 | Training started
2018-03-01 13:19:51.461209 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #1 | Training finished
2018-03-01 13:19:51.461435 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #2 | Training started
2018-03-01 13:19:51.672794 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #2 | Training finished
2018-03-01 13:19:51.673017 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #3 | Training started
2018-03-01 13:19:51.888356 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #3 | Training finished
2018-03-01 13:19:51.888587 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #4 | Training started
2018-03-01 13:19:52.103536 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #4 | Training finished
2018-03-01 13:19:52.103757 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #5 | Training started
2018-03-01 13:19:52.315394 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #5 | Training finished
2018-03-01 13:19:52.315621 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #6 | Training started
2018-03-01 13:19:52.529435 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #6 | Training finished
2018-03-01 13:19:52.529673 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #7 | Training started
2018-03-01 13:19:52.746088 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #7 | Training finished
2018-03-01 13:19:52.746308 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #8 | Training started
2018-03-01 13:19:52.965529 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #8 | Training finished
2018-03-01 13:19:52.965758 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #9 | Training started
2018-03-01 13:19:53.178133 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #9 | Training finished
2018-03-01 13:19:53.178355 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #10 | Training started
2018-03-01 13:20:28.830888 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #10 | Training finished
2018-03-01 13:20:28.831093 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #10 | Collecting samples for evaluation
2018-03-01 13:20:30.774007 UTC | -----------------------  ------------
2018-03-01 13:20:30.774287 UTC | Epoch                    10
2018-03-01 13:20:30.774418 UTC | AverageReturn             0
2018-03-01 13:20:30.774830 UTC | StdReturn                 0
2018-03-01 13:20:30.774941 UTC | MaxReturn                 0
2018-03-01 13:20:30.775022 UTC | MinReturn                 0
2018-03-01 13:20:30.775101 UTC | AverageEsReturn           0
2018-03-01 13:20:30.775184 UTC | StdEsReturn               0
2018-03-01 13:20:30.775262 UTC | MaxEsReturn               0
2018-03-01 13:20:30.775346 UTC | MinEsReturn               0
2018-03-01 13:20:30.775450 UTC | AverageDiscountedReturn   0
2018-03-01 13:20:30.775532 UTC | AverageQLoss              2.85602e-05
2018-03-01 13:20:30.775614 UTC | AveragePolicySurr         0.0401716
2018-03-01 13:20:30.775979 UTC | AverageQ                 -0.0404563
2018-03-01 13:20:30.776087 UTC | AverageAbsQ               0.0405436
2018-03-01 13:20:30.776188 UTC | AverageY                 -0.0404698
2018-03-01 13:20:30.776290 UTC | AverageAbsY               0.0404698
2018-03-01 13:20:30.776400 UTC | AverageAbsQYDiff          0.000936726
2018-03-01 13:20:30.776487 UTC | AverageAction             0.997718
2018-03-01 13:20:30.776571 UTC | PolicyRegParamNorm       26.4561
2018-03-01 13:20:30.776908 UTC | QFunRegParamNorm          7.99344
2018-03-01 13:20:30.777001 UTC | AverageForwardProgress    0
2018-03-01 13:20:30.777124 UTC | MaxForwardProgress        0
2018-03-01 13:20:30.777222 UTC | MinForwardProgress        0
2018-03-01 13:20:30.777306 UTC | StdForwardProgress        0
2018-03-01 13:20:30.777403 UTC | -----------------------  ------------
2018-03-01 13:20:30.778175 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #11 | Training started
2018-03-01 13:21:07.464385 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #11 | Training finished
2018-03-01 13:21:07.464558 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #11 | Collecting samples for evaluation
2018-03-01 13:21:08.757824 UTC | -----------------------  ------------
2018-03-01 13:21:08.758228 UTC | Epoch                    11
2018-03-01 13:21:08.758312 UTC | AverageReturn             0
2018-03-01 13:21:08.758369 UTC | StdReturn                 0
2018-03-01 13:21:08.758548 UTC | MaxReturn                 0
2018-03-01 13:21:08.758620 UTC | MinReturn                 0
2018-03-01 13:21:08.758674 UTC | AverageEsReturn           0
2018-03-01 13:21:08.758725 UTC | StdEsReturn               0
2018-03-01 13:21:08.758776 UTC | MaxEsReturn               0
2018-03-01 13:21:08.758826 UTC | MinEsReturn               0
2018-03-01 13:21:08.758877 UTC | AverageDiscountedReturn   0
2018-03-01 13:21:08.758927 UTC | AverageQLoss              2.00365e-15
2018-03-01 13:21:08.758977 UTC | AveragePolicySurr         0.0397168
2018-03-01 13:21:08.759026 UTC | AverageQ                 -0.0397172
2018-03-01 13:21:08.759076 UTC | AverageAbsQ               0.0397172
